Model,Released,Performance,Fit Speed,Prediction Speed,Memory Efficiency,Overfitting Resistance,Scaling Robustness,Need Scaling?,External Library?,Can Continue Training?,Continue Training Method,Short Description
Linear Regressor,2010,3,10,10,9,9,8,Not required,No,No,-,Simple linear model
Ridge Regressor,2010,3,10,10,9,10,5,Yes / recommended,No,No,-,L2-regularized linear model
Lasso Regressor,2010,3,6,10,8,9,4,Yes / recommended,No,No,-,L1 regularization + feature selection
ElasticNet Regressor,2010,3,10,10,8,9,3,Yes / recommended,No,No,-,Combination of L1 and L2
Bayesian Ridge Regressor,2010,3,10,10,8,10,5,Yes / recommended,No,No,-,Bayesian regularized linear model
RANSAC Regressor,2010,3,6,10,7,8,7,Not required,No,No,-,Robust model against outliers
SGD Regressor,2010,3,8,10,10,7,3,Yes,No,Yes,"`partial_fit(X, y)`",Gradient-based online linear model
SVR (linear),2010,2,3,3,7,8,3,Yes,No,No,-,Linear margin-based regressor
SVR (RBF),2010,7,2,1,4,4,1,Yes,No,No,-,Kernel-based nonlinear regressor
KNeighbors Regressor,2010,6,9,7,3,3,2,Yes,No,No,-,Distance-based model that stores the training data
NuSVR Regressor,2010,4,3,2,4,4,1,Yes,No,No,-,"Nu-based kernel SVR, usually strong but very slow on large datasets"
Decision Tree Regressor,2010,7,8,10,8,1,10,No,No,No,-,Tree-based model
Random Forest Regressor,2010,8,5,10,4,7,10,No,No,No,-,Bagged ensemble of decision trees
AdaBoost Regressor,2010,5,4,10,7,5,9,No,No,No,-,Boosting regressor that corrects errors step by step
Bagging Regressor,2010,8,3,9,5,6,10,Depends,No,No,-,Average of multiple bootstrap-trained models
Dummy Regressor,2013,1,10,10,10,10,10,No,No,No,-,"Naive baseline, for example predicts the mean"
Extra Trees Regressor,2013,9,4,10,4,7,10,No,No,No,-,Strongly randomized tree ensemble
XGBoost Regressor,2014,8,7,10,4,5,9,No,Yes (xgboost),Yes,"`fit(X, y, xgb_model=old_model)`",Strong regularized boosting
Huber Regressor,2016,3,6,10,8,9,4,Yes / recommended,No,No,-,Robust linear regressor for outliers
Gradient Boosting Regressor,2016,9,3,10,6,5,9,No,No,No,-,Classic boosting model
MLP Regressor,2016,9,1,10,5,3,2,Yes,No,Yes,"`partial_fit(X, y)`",Neural network for regressor
Passive Aggressive Regressor,2017,3,6,10,10,6,3,Yes,No,Yes,"`partial_fit(X, y)`",Online linear model with aggressive updates
LightGBM Regressor,2017,9,8,10,6,5,9,No,Yes (lightgbm),Yes,"`fit(X, y, init_model=old_model)`",Very fast boosting for large datasets
CatBoost Regressor,2017,9,5,10,5,6,9,No,Yes (catboost),Yes,"`fit(X, y, init_model=old_model)`","Strong boosting, also good with categorical data"
Voting Regressor,2019,10,4,8,6,6,5,Depends,No,No,-,Average of predictions from multiple regressors
Stacking Regressor,2019,10,2,8,4,5,5,Depends,No,No,-,Multi-level ensemble meta-model
Poisson Regressor,2020,5,8,10,9,9,5,Yes / recommended,No,No,-,GLM for strictly positive count-like targets with log link
Gamma Regressor,2020,1,10,10,9,9,5,Yes / recommended,No,No,-,GLM for strictly positive right-skewed targets with log link
Hist Gradient Boosting Regressor,2020,8,8,10,6,6,9,No,No,No,-,Fast boosting for larger datasets
Quantile Regressor,2021,2,2,10,8,9,4,Yes / recommended,No,No,-,"Linear model that predicts conditional quantiles, robust to outliers"
